Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.11,MatmulDeviceOperation (in0:dram_interleaved),20233.87,48,Compute,4.14,7.11,5.03,1.15,4.53
14.54,LayerNormDeviceOperation (in0:dram_interleaved),3582.64,48,Compute,,,,,
1.16,SdpaDecodeDeviceOperation (in0:dram_interleaved),285.32,8,Compute,,,,,
0.83,BinaryNgDeviceOperation (in0:dram_interleaved),204.33,32,Compute,,,,,
0.41,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),102.13,8,Other,,,,,
0.38,UnaryDeviceOperation (in0:dram_interleaved),94.30,16,Compute,,,,,
0.23,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),56.76,16,DM,,,,,
0.07,CopyDeviceOperation (in0:dram_interleaved),16.92,8,DM,,,,,
0.06,SliceDeviceOperation (in0:dram_interleaved),15.42,8,TM,,,,,
0.06,InterleavedToShardedDeviceOperation (in0:dram_interleaved),14.34,24,DM,,,,,
0.05,ShardedToInterleavedDeviceOperation (in0:height_sharded),13.04,24,DM,,,,,
0.05,ShardedToInterleavedDeviceOperation (in0:width_sharded),11.89,8,DM,,,,,
0.04,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),10.60,8,TM,,,,,
