2026-07-19 12:27:06.072 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-07-19 12:27:06.072 | info     |             UMD | Cluster constructor started. (cluster.cpp:348)
2026-07-19 12:27:06.072 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:91)
2026-07-19 12:27:06.072 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:110)
2026-07-19 12:27:06.074 | info     |             UMD | Established firmware bundle version: 19.8.0 (topology_discovery.cpp:569)
2026-07-19 12:27:06.074 | info     |             UMD | Firmware bundle version 19.8.0 on the system is newer than the latest fully tested version 19.5.0 for blackhole architecture. Newest features may not be supported. (topology_discovery.cpp:601)
2026-07-19 12:27:06.078 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:114)
2026-07-19 12:27:06.300 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1, 2, 3}/[0, 1, 2, 3] and remote chip ids {} (cluster.cpp:168)
2026-07-19 12:27:06.300 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-07-19 12:27:06.300 | info     |             UMD | KMD version: 2.8.0 (cluster.cpp:145)
2026-07-19 12:27:06.300 | info     |             UMD | Cluster constructor completed. (cluster.cpp:520)
2026-07-19 12:27:06.301 | info     |             UMD | Starting devices in cluster (cluster.cpp:1024)
2026-07-19 12:27:06.482 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1032)
--------------------------------------------------------------------------
It appears as if there is not enough space for /dev/shm/sm_segment.23ff5195c3f7.1000.e2180000.0 (the shared-memory backing
file). It is likely that your MPI job will now either abort or experience
performance degradation.

  Local host:  23ff5195c3f7
  Space Requested: 16777216 B
  Space Available: 17539072 B
--------------------------------------------------------------------------
2026-07-19 12:27:06.608 | DEBUG    | ttnn.device:__init__:152 - Using default dispatch core type for this system: DispatchCoreType.WORKER
2026-07-19 12:27:06.608 | DEBUG    | ttnn.device:__init__:154 - Using default dispatch core axis for this system: DispatchCoreAxis.COL
2026-07-19 12:27:06.608 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:367)
2026-07-19 12:27:06.608 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:429)
2026-07-19 12:27:06.608 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-07-19 12:27:06.608 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x2) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-07-19 12:27:06.608 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=2 (bus_id=0x3) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-07-19 12:27:06.608 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=3 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-07-19 12:27:06.608 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x2) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
